location,concentration,unit,start,end
ZooPark,9.75,µg/m3,2016-09-14T20:30:00Z,2016-09-14T20:30:00Z
ZooPark,6.00,µg/m3,2016-09-14T21:30:00Z,2016-09-14T21:30:00Z
ZooPark,7.67,µg/m3,2016-09-14T22:30:00Z,2016-09-14T22:30:00Z
ZooPark,10.00,µg/m3,2016-09-14T23:30:00Z,2016-09-14T23:30:00Z
ZooPark,8.33,µg/m3,2016-09-15T00:30:00Z,2016-09-15T00:30:00Z
ZooPark,14.00,µg/m3,2016-09-15T01:30:00Z,2016-09-15T01:30:00Z
ZooPark,19.50,µg/m3,2016-09-15T02:30:00Z,2016-09-15T02:30:00Z
ZooPark,18.00,µg/m3,2016-09-15T03:30:00Z,2016-09-15T03:30:00Z
ZooPark,19.00,µg/m3,2016-09-15T04:30:00Z,2016-09-15T04:30:00Z
ZooPark,22.50,µg/m3,2016-09-15T05:30:00Z,2016-09-15T05:30:00Z
ZooPark,15.00,µg/m3,2016-09-15T06:30:00Z,2016-09-15T06:30:00Z
ZooPark,13.75,µg/m3,2016-09-15T07:30:00Z,2016-09-15T07:30:00Z
ZooPark,19.00,µg/m3,2016-09-15T08:30:00Z,2016-09-15T08:30:00Z
ZooPark,11.25,µg/m3,2016-09-15T09:30:00Z,2016-09-15T09:30:00Z
ZooPark,11.33,µg/m3,2016-09-15T10:30:00Z,2016-09-15T10:30:00Z
ZooPark,3.33,µg/m3,2016-09-15T11:30:00Z,2016-09-15T11:30:00Z
ZooPark,2.00,µg/m3,2016-09-15T12:30:00Z,2016-09-15T12:30:00Z
ZooPark,4.00,µg/m3,2016-09-15T13:30:00Z,2016-09-15T13:30:00Z
ZooPark,10.67,µg/m3,2016-09-15T14:30:00Z,2016-09-15T14:30:00Z
ZooPark,15.00,µg/m3,2016-09-15T15:30:00Z,2016-09-15T15:30:00Z
ZooPark,22.33,µg/m3,2016-09-15T16:30:00Z,2016-09-15T16:30:00Z
ZooPark,18.33,µg/m3,2016-09-15T17:30:00Z,2016-09-15T17:30:00Z
ZooPark,NA,NA,NA,NA
ZooPark,NA,NA,NA,NA
ZooPark,17.00,µg/m3,2016-09-15T18:30:00Z,2016-09-15T18:30:00Z
ZooPark,19.00,µg/m3,2016-09-15T19:30:00Z,2016-09-15T19:30:00Z
ZooPark,10.50,µg/m3,2016-09-15T20:30:00Z,2016-09-15T20:30:00Z
ZooPark,13.00,µg/m3,2016-09-15T21:30:00Z,2016-09-15T21:30:00Z
ZooPark,15.00,µg/m3,2016-09-15T22:30:00Z,2016-09-15T22:30:00Z
ZooPark,16.67,µg/m3,2016-09-15T23:30:00Z,2016-09-15T23:30:00Z
ZooPark,20.75,µg/m3,2016-09-16T00:30:00Z,2016-09-16T00:30:00Z
ZooPark,19.50,µg/m3,2016-09-16T01:30:00Z,2016-09-16T01:30:00Z
ZooPark,9.00,µg/m3,2016-09-16T02:30:00Z,2016-09-16T02:30:00Z
ZooPark,8.25,µg/m3,2016-09-16T03:30:00Z,2016-09-16T03:30:00Z
ZooPark,8.67,µg/m3,2016-09-16T04:30:00Z,2016-09-16T04:30:00Z
ZooPark,15.67,µg/m3,2016-09-16T05:30:00Z,2016-09-16T05:30:00Z
ZooPark,15.25,µg/m3,2016-09-16T06:30:00Z,2016-09-16T06:30:00Z
ZooPark,4.25,µg/m3,2016-09-16T07:30:00Z,2016-09-16T07:30:00Z
ZooPark,6.67,µg/m3,2016-09-16T08:30:00Z,2016-09-16T08:30:00Z
ZooPark,10.00,µg/m3,2016-09-16T09:30:00Z,2016-09-16T09:30:00Z
ZooPark,NA,NA,NA,NA
ZooPark,NA,NA,NA,NA
